path,label,group,split
Angry/Cat_Angry1026.mp3,Angry,Angry/cat_angry1026,train
Angry/Cat_Angry1027.mp3,Angry,Angry/cat_angry1027,val
Angry/Cat_Angry1028.mp3,Angry,Angry/cat_angry1028,train
Angry/Cat_Angry1029.mp3,Angry,Angry/cat_angry1029,val
Angry/Cat_Angry1030.mp3,Angry,Angry/cat_angry1030,train
Angry/Cat_Angry1031.mp3,Angry,Angry/cat_angry1031,train
Angry/Cat_Angry1032.mp3,Angry,Angry/cat_angry1032,train
Angry/Cat_Angry1033.mp3,Angry,Angry/cat_angry1033,train
Angry/Cat_Angry1034.mp3,Angry,Angry/cat_angry1034,test
Angry/Cat_Angry1035.mp3,Angry,Angry/cat_angry1035,train
Angry/Cat_Angry1036.mp3,Angry,Angry/cat_angry1036,train
Angry/Cat_Angry1037.mp3,Angry,Angry/cat_angry1037,train
Angry/Cat_Angry1038.mp3,Angry,Angry/cat_angry1038,train
Angry/Cat_Angry1039.mp3,Angry,Angry/cat_angry1039,test
Angry/Cat_Angry1040.mp3,Angry,Angry/cat_angry1040,val
Angry/Cat_Angry1042.mp3,Angry,Angry/cat_angry1042,train
Angry/Cat_Angry1043.mp3,Angry,Angry/cat_angry1043,train
Angry/Cat_Angry1044.mp3,Angry,Angry/cat_angry1044,train
Angry/Cat_Angry1045.mp3,Angry,Angry/cat_angry1045,train
Angry/Cat_Angry1046.mp3,Angry,Angry/cat_angry1046,train
Angry/Cat_Angry1047.mp3,Angry,Angry/cat_angry1047,test
Angry/Cat_Angry1048.mp3,Angry,Angry/cat_angry1048,val
Angry/Cat_angry1015.mp3,Angry,Angry/cat_angry1015,train
Angry/Cat_angry1016.mp3,Angry,Angry/cat_angry1016,val
Angry/Cat_angry1017.mp3,Angry,Angry/cat_angry1017,train
Angry/Cat_angry1018.mp3,Angry,Angry/cat_angry1018,train
Angry/Cat_angry1019.mp3,Angry,Angry/cat_angry1019,train
Angry/Cat_angry1020.mp3,Angry,Angry/cat_angry1020,train
Angry/Cat_angry1021.mp3,Angry,Angry/cat_angry1021,train
Angry/Cat_angry1022.mp3,Angry,Angry/cat_angry1022,train
Angry/Cat_angry1023.mp3,Angry,Angry/cat_angry1023,train
Angry/Cat_angry1024.mp3,Angry,Angry/cat_angry1024,train
Angry/Edit9001Ang (2).mp3,Angry,Angry/edit9001ang,train
Angry/Edit9004Ang.mp3,Angry,Angry/edit9004ang,train
